latitude,longitude,name,price,property_type,month,country_code,suburb,rating,city,availability,minimum_nights,maximum_nights,room_type,bedrooms,bathrooms,amenities_count,number_of_reviews
40.79962,-73.96523,New York City - Upper West Side Apt,135,Apartment,3,US,Manhattan,6,Unknown,,12,360,Private room,1.0,1.0,11,70
41.0062,28.98009,Double and triple rooms Blue mosque,121,Bed and breakfast,2,TR,Fatih,5,Unknown,,1,1125,Private room,1.0,1.0,19,29
22.28158,114.15027,"Soho Cozy, Spacious and Convenient",699,Apartment,3,HK,Central & Western District,5,Unknown,,4,20,Entire home/apt,1.0,1.0,10,3
22.3314,114.1669,City center private room with bed,181,Guesthouse,3,HK,Sham Shui Po District,6,Unknown,,1,500,Private room,1.0,1.0,17,81
-33.88029,151.21554,Surry Hills Studio - Your Perfect Base in Sydney,181,Apartment,3,AU,Darlinghurst,6,Unknown,,10,21,Entire home/apt,0.0,1.0,18,64
41.1543,-8.60867,Downtown Oporto Inn (room cleaning),40,Hostel,2,PT,,5,Unknown,,1,1125,Private room,1.0,1.0,14,0
40.74577,-74.00074,Easy 1 Bedroom in Chelsea,145,Apartment,3,US,Manhattan,5,Unknown,,2,1125,Entire home/apt,1.0,1.0,9,1
40.71485,-73.82257,A bedroom far away from home,45,Apartment,3,US,Queens,9,Unknown,,1,10,Private room,1.0,1.0,18,239
40.69791,-73.93615,Private Room in Bushwick,40,Apartment,3,US,Brooklyn,5,Unknown,,14,1125,Private room,1.0,1.5,10,1
-22.984339360067814,-43.190849194463404,Copacabana Apartment Posto 6,119,Apartment,2,BR,Copacabana,6,Unknown,,3,75,Entire home/apt,1.0,2.0,31,70
45.54548,-73.54949,Ligne verte - à 15 min de métro du centre ville.,43,Apartment,3,CA,Hochelaga-Maisonneuve,5,Unknown,,2,1125,Entire home/apt,0.0,1.0,13,0
-22.930541460367934,-43.1825954762751,Apartamento zona sul do RJ,933,Apartment,2,BR,Laranjeiras,5,Unknown,,1,1125,Entire home/apt,3.0,1.5,13,0
-22.966253551739655,-43.23074991429229,Horto flat with small garden,317,Apartment,2,BR,Jardim Botânico,5,Unknown,,2,1125,Entire home/apt,1.0,1.0,15,0
45.52233,-73.57383,3 chambres au coeur du Plateau,140,Apartment,3,CA,Le Plateau-Mont-Royal,5,Unknown,,1,1125,Entire home/apt,3.0,1.0,13,0
41.04841,28.98713,GOLF ROYAL RESİDENCE TAXİM(1+1):3,838,Serviced apartment,2,TR,Şişli,5,Unknown,,1,1125,Entire home/apt,2.0,1.0,34,3
41.15225,-8.61123,Be Happy in Porto,30,Loft,2,PT,,8,Unknown,,2,1125,Entire home/apt,1.0,1.0,32,178
41.3596,-8.75383,A Casa Alegre é um apartamento T1.,40,Apartment,2,PT,,5,Unknown,,7,180,Entire home/apt,1.0,1.0,18,12
40.7664,-73.95854,2 bedroom Upper east side,275,Apartment,3,US,Upper East Side,5,Unknown,,2,7,Entire home/apt,2.0,1.0,16,9
-22.92638234778768,-43.18015675229857,Catete's Colonial Big Hause Room B,250,House,2,BR,Catete,5,Unknown,,2,1125,Private room,1.0,4.0,11,1
22.30469,114.17158,Double Room en-suite (307),361,Apartment,3,HK,Yau Tsim Mong,5,Unknown,,1,1125,Private room,1.0,1.0,12,0
